호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
7호선,2726,중곡,311843,267838,325326,327652,336359,311497,326555,303872,301727,337958,329891,327895
7호선,2727,군자(7),467494,395912,476368,478118,485267,449742,473953,450371,429546,476130,466891,478098
7호선,2728,어린이대공원,388110,337775,541081,589171,619872,475966,396217,393546,482226,544394,525462,487472
7호선,2729,건대입구(7),494491,427632,544283,520335,544550,493188,496498,480187,468233,506481,518145,526626
7호선,2730,뚝섬유원지,221646,197157,253751,321817,428270,318229,293621,316111,317221,347255,245726,228937
7호선,2731,청담,609896,502932,607047,623162,628303,572905,616279,570831,544289,619874,617312,609512
7호선,2732,강남구청,464977,380213,463072,469907,475951,437689,470410,438880,418951,474885,475209,470032
7호선,2733,학동,666843,532712,643657,659909,659841,601459,665244,618418,593648,673769,674008,665043
7호선,2734,논현,605635,490224,582249,593976,600605,553456,613661,567346,533428,593949,590898,596292
7호선,2735,반포,197733,170380,208106,210719,220659,202558,208484,199469,193922,213425,209860,208761
7호선,2736,고속터미널(7),654755,606718,651118,643848,676534,626028,645032,654634,630554,690940,679917,679479
7호선,2737,내방,436289,358946,436516,448046,456746,411195,441723,408294,396600,445251,434657,436862
7호선,2738,이수(7),527381,446677,534283,530730,548209,514814,542919,511016,485352,539831,536216,550313
7호선,2739,남성,361400,306242,380311,382133,390307,356446,369918,350650,344729,379275,373489,368248
7호선,2740,숭실대입구,414768,344211,542214,546106,552125,455269,413832,389864,480984,518148,519159,470763
7호선,2741,상도,332324,284585,390827,391312,407624,363581,360399,339043,358710,393197,398936,376530
7호선,2742,장승배기,341929,291451,349140,351127,356063,328956,346336,329530,317390,346638,339667,345331
7호선,2743,신대방삼거리,522442,442031,537991,546524,554102,509387,534889,503242,492340,542868,534117,534683
7호선,2744,보라매,291368,245411,305735,315042,324345,292485,305639,283937,275033,311343,307824,308058
7호선,2745,신풍,360803,308491,378633,382547,393707,364715,375510,355773,348774,385314,376701,379218
7호선,2746,대림(7),329089,301631,348971,335348,343873,313481,323952,317712,320014,326853,315741,327771
7호선,2747,남구로,502548,422897,505510,511588,512823,472426,506516,469812,464149,497612,491944,495621
7호선,2748,가산디지털단지(7),1285736,1049287,1226964,1261009,1255777,1132392,1279936,1154046,1113952,1232287,1237493,1218311
7호선,2749,철산,734272,632037,762344,770400,791470,720061,750769,707115,682412,753146,739505,752870
7호선,2750,광명사거리,816506,708968,843810,846422,860406,790061,812571,770949,751444,818984,795575,805281
7호선,2751,천왕,276507,237346,291567,303516,315852,292217,310448,292101,290974,322876,316436,318176
7호선,2752,온수(7),308963,263123,353093,367154,365746,328362,331290,305976,322834,352792,345413,336641
7호선,2753,까치울,222388,191607,238764,255910,261887,238874,239749,224514,221534,250719,237331,238359
7호선,2754,부천종합운동장,150462,129404,161591,211293,170712,153309,156147,146717,146830,161699,154069,152577
7호선,2755,춘의,281872,238208,280848,294427,293397,271978,286900,268039,258970,284460,277809,277954
7호선,2756,신중동,459445,391801,465000,472593,483591,441537,464643,438493,420682,468450,458120,473593
7호선,2757,부천시청,394871,344161,400593,399355,415863,389467,414232,390208,370358,409413,401759,412453
7호선,2758,상동,455368,392804,466849,465251,472281,436834,456352,434806,413540,462707,456875,467658
7호선,2759,삼산체육관,163464,138561,168756,184667,182355,166531,177909,169006,157045,180753,171545,174288
7호선,2760,굴포천,287677,247294,292179,293838,301033,279606,290894,277565,268634,296488,293343,299094
7호선,2761,부평구청(7),363409,306881,373447,383582,388669,355939,375194,353459,345232,385919,378129,379965
8호선,2811,암사,581667,493291,589247,598002,607394,559905,588871,554452,538374,604347,580940,591659
8호선,2812,천호(8),578596,494072,586685,583897,592480,546333,569368,542837,515792,571064,560459,576269
8호선,2813,강동구청,331810,275428,327182,330604,337874,311036,333655,308141,297390,332753,327844,341464
8호선,2814,몽촌토성,194089,160097,194863,204038,235073,183639,179605,167507,175268,198252,184494,178576
8호선,2815,잠실(8),491523,437718,496705,523264,505235,466922,504106,495949,445942,494165,499615,552024
8호선,2816,석촌(8),254235,213254,253004,264809,263919,237194,252642,238972,224449,251426,248364,255178
8호선,2817,송파,188445,188594,275759,302864,321058,296630,311708,287694,281341,308906,304531,309851
8호선,2818,가락시장(8),254503,208527,249526,249194,249725,231684,242922,228939,226897,253246,256465,269082
8호선,2819,문정,583939,472885,570768,594764,588568,539987,601465,544250,521699,587173,587897,589836
8호선,2820,장지,581866,498986,602314,598510,617663,570250,595869,553199,532308,590341,592310,609868
8호선,2821,복정(8),342389,284818,380188,388968,387341,349514,345361,325346,336677,374745,369385,356352
8호선,2822,산성,170870,146671,188713,192404,197733,182816,179789,174804,172250,193223,184701,177466
8호선,2823,남한산성입구,415681,353119,469094,480970,491475,430978,425744,400523,429062,479783,466039,448465
8호선,2824,단대오거리,333332,285573,365127,369788,382502,334260,334524,315394,326830,363439,349683,346749
8호선,2825,신흥,146978,127152,150033,150148,158554,147999,155853,149462,138312,153141,151863,159262
8호선,2826,수진,172672,147491,176598,175461,185556,172482,180182,173553,166423,188787,183154,187815
8호선,2827,모란(8),148875,124305,156572,158580,165246,148523,150151,145958,140929,167216,155545,159594
9호선,4126,언주,280003,227141,264314,270575,266195,251678,288332,274182,248054,281535,284526,293064
9호선,4127,선정릉,249093,206396,248595,257810,258673,238578,267731,250409,235811,270075,271019,271316
9호선,4128,삼성중앙,174046,142183,170907,176694,176182,161976,183960,176160,164184,183193,186772,189760
9호선,4129,봉은사,504813,428288,524278,532717,571409,515437,602990,565755,481842,565321,589974,667976
9호선,4130,종합운동장(9),140158,119599,151586,146628,156786,139616,149707,143775,127804,152718,146652,154157
9호선,4131,삼전,142940,126960,156203,156724,164775,156635,170625,169739,162059,178882,178536,186595
9호선,4132,석촌고분,124145,111835,138297,142973,149357,140388,154362,150734,141439,157476,159519,166829
9호선,4133,석촌(9),158663,144786,182017,200991,209873,195038,210740,206789,196126,225999,224392,229061
9호선,4134,송파나루,98671,88355,108543,115185,117178,108491,120381,119358,108487,122350,124785,135150
9호선,4135,한성백제,56374,48386,59066,63609,75589,63651,67246,67532,70670,80304,77160,76876
9호선,4136,올림픽공원(9),169608,141431,202411,206107,242493,241389,243384,242909,207484,248946,248592,264822
9호선,4137,둔촌오륜,22129,20580,29271,30522,30628,29461,30784,28890,30552,32963,33387,32703
9호선,4138,중앙보훈병원,183771,160420,196491,213102,222625,210157,233476,232024,229366,269150,264384,269686
