"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상"
"서울특별시 성동구 송정동(1120072000)","10,725","10,725","531","599","1,713","1,641","1,558","1,966","1,616","748","299","46","8"
"서울특별시 성동구 용답동(1120079000)","11,788","11,788","419","621","2,069","1,652","1,747","2,193","1,618","1,017","410","38","4"
"서울특별시 광진구 (1121500000)","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218"
"서울특별시 광진구 화양동(1121571000)","22,658","22,658","381","713","9,653","4,383","2,189","2,091","1,701","1,050","408","66","23"
"서울특별시 광진구 군자동(1121573000)","19,930","19,930","889","1,047","4,493","3,637","2,627","2,899","2,364","1,366","532","66","10"
"서울특별시 광진구 중곡제1동(1121574000)","15,792","15,792","774","764","2,829","2,990","2,193","2,532","2,084","1,174","387","56","9"
"서울특별시 광진구 중곡제2동(1121575000)","21,943","21,943","1,208","1,408","3,915","3,932","3,006","3,571","2,833","1,494","496","71","9"
"서울특별시 광진구 중곡제3동(1121576000)","16,683","16,683","765","957","2,712","2,750","2,323","2,921","2,405","1,293","483","60","14"
"서울특별시 광진구 중곡제4동(1121577000)","29,387","29,387","1,483","1,950","4,493","4,387","4,178","5,323","4,363","2,305","767","111","27"
"서울특별시 광진구 능동(1121578000)","11,610","11,610","578","553","2,405","2,668","1,641","1,415","1,258","746","294","46","6"
"서울특별시 광진구 광장동(1121581000)","35,440","35,440","3,315","5,511","4,147","3,839","7,692","5,470","3,022","1,473","810","151","10"
"서울특별시 광진구 자양제1동(1121582000)","22,790","22,790","1,017","1,513","4,390","3,789","3,385","3,628","2,852","1,536","584","82","14"
"서울특별시 광진구 자양제2동(1121583000)","25,641","25,641","1,628","1,889","3,859","3,934","4,039","4,283","3,610","1,694","596","96","13"
